AHTI;-38.411447;-181.953997;IGS08;1;Pouawa; New Zealand
AHUP;19.379109;-155.266098;NA12;1;Volcano; USA
AHVA;31.339646;-311.315572;IGS08;1;Ahvaz; Iran
AHVZ;31.343866;-311.25565;IGS08;1;Ahvaz; Iran
AIAH;33.84916;-117.862475;NA12;1;Anaheim; USA
AICI;43.333565;-1.014406;IGS08;1;Aïcirits-Camou-Suhast; France
AIES;13.447257;-89.050396;IGS08;1;Las Flores; El Salvador
AIGL;44.121398;-356.41874;IGS08;1;Valleraugue; France
AILT;47.877011;-356.644111;IGS08;1;Montholon; France
AINP;19.372652;-155.458018;NA12;1;‘Ainapō; USA
AIR2;51.293512;-113.998307;NA12;1;Airdrie; Canada
AIRA;31.824061;-229.400407;IGS08;1;Aira; Japan
AIRD;51.285462;-113.993368;NA12;1;Airdrie; Canada
AIRP;27.697147;-274.642076;IGS08;1;Kathmandu; Nepal
AIRS;16.740827;-62.213856;NA12;1;Flemming; Montserrat
AIS5;55.069072;-131.599536;NA12;1;Metlakatla; USA
AIS6;55.068883;-131.599212;NA12;1;Metlakatla; USA
AISD;33.023892;-117.085783;NA12;1;San Diego; USA
AITB;14.079448;-259.387599;IGS08;1;Khlong Nueng; Thailand
AIZK;56.599075;-334.749793;IGS08;1;Aizkraukle; Latvia
AJAC;41.927458;-351.237385;IGS08;1;Ajaccio; France
AJAL;41.216069;-2.273605;IGS08;1;Arcos de Jalón; Spain
AKAG;61.173243;-149.874852;NA12;1;Taku / Campbell; USA
AKBG;61.558117;-149.781791;NA12;1;Big Lake; USA
AKDG;39.660161;-324.128356;IGS08;1;Akdağmadeni; Turkey
AKED;64.845014;-148.005049;NA12;1;Ester; USA
AKER;61.328616;-149.56633;NA12;1;Eagle River; USA
AKFN;64.848849;-147.692551;NA12;1;Fairbanks; USA
AKFX;64.960349;-147.616762;NA12;1;Fox; USA
AKHR;38.369272;-328.570258;IGS08;1;Akşehir; Turkey
AKKO;52.016239;-289.063089;IGS08;1;Akkol; Kazakhstan
AKLV;54.162697;-165.955823;NA12;1;Akutan; USA
AKNP;64.756957;-147.39405;NA12;1;North Pole; USA
AKPR;61.597968;-149.110549;NA12;1;Palmer; USA
AKS1;37.047717;-328.212503;IGS08;1;Akseki; Turkey
AKSE;60.132498;-149.436488;NA12;1;Seward; USA
AKSI;57.048861;-135.338985;NA12;1;Mount Edgecombe; USA
AKSR;38.370391;-326.00185;IGS08;1;Aksaray; Turkey
AKTO;-40.539806;-183.53878;IGS08;1;Akitio; New Zealand
AKUR;65.685425;-18.122481;NA12;1;Akureyri; Iceland
AKYR;34.980831;-335.087393;IGS08;1;Agios Kirillos; Greece
AL10;34.435;-86.268185;NA12;1;Guntersville; USA
AL13;34.603546;-85.930768;NA12;1;Dutton; USA
AL15;33.990251;-86.079564;NA12;1;Gadsden; USA
AL20;34.71032;-87.662712;NA12;1;Muscle Shoals; USA
AL23;34.148575;-87.953625;NA12;1;Hamilton; USA
AL2H;48.38978;-123.487472;NA12;1;Colwood; Canada
AL30;33.532351;-86.853414;NA12;1;Birmingham; USA
AL35;33.16512;-86.75683;NA12;1;Calera; USA
AL40;32.962685;-86.006297;NA12;1;Alexander City; USA
AL46;32.325689;-85.160553;NA12;1;Seale; USA
AL4A;32.962101;-86.00682;NA12;1;Alexander City; USA
AL50;33.167974;-87.501514;NA12;1;Tuscaloosa; USA
AL55;32.711488;-87.615591;NA12;1;Greensboro; USA
AL60;32.411374;-86.270547;NA12;1;Montgomery; USA
AL62;32.148157;-85.686771;NA12;1;Union Springs; USA
AL70;31.782747;-85.96515;NA12;1;Troy; USA
AL76;31.874989;-85.225689;NA12;1;Eufaula; USA
AL81;32.575713;-88.181757;NA12;1;Livingston; USA
AL82;32.257446;-87.625821;NA12;1;Thomaston; USA
AL83;31.994644;-87.333307;NA12;1;Camden; USA
AL84;31.700375;-87.789169;NA12;1;Grove Hill; USA
AL90;30.69083;-88.031711;NA12;1;Mobile; USA
AL92;30.916391;-87.775691;NA12;1;Bay Minette; USA
ALA1;32.598858;-85.503925;NA12;1;Auburn; USA
ALA2;43.287575;-283.057362;IGS08;1;Almaty; Kazakhstan
ALAB;41.404749;-288.504479;IGS08;1;Ala-Buka; Kyrgyzstan
ALAC;38.33892;-0.481229;IGS08;1;Alicante; Spain
ALAJ;28.063814;-17.241076;NA12;1;Alajeró; Spain
ALAM;37.357958;-115.158458;NA12;1;Alamo; USA
ALAN;31.307381;-86.483959;NA12;1;Andalusia; USA
ALAR;-9.749224;-36.65342;IGS08;1;Arapiraca; Brazil
ALAS;33.667002;-85.830691;NA12;1;Anniston; USA
ALAT;41.672896;-346.616453;IGS08;1;San Giuseppe le Prata-Cotropagno; Italy
ALAU;32.608148;-85.480326;NA12;1;Auburn; USA
ALAV;31.551878;-85.234334;NA12;1;Abbeville; USA
ALB2;-36.077535;-213.084443;IGS08;1;Albury NSW; Australia
